_id,news_company,news_time,news_title,news_description
65dd6cad99080678d0012b76,코메디닷컴,2024.02.12 12:44,당원병 환자에 옥수수전분 지원…희귀질환자 지원 확대,"환자 가구와 부양의무자 재산 기준도 높아져 사각지대에 있는 희귀 질환자도 지원받을 수 있게 됐다.특수식 지원에도 신규 항목이 생겼다. 특수조제분유, 저단백햇반 등 기존 지원 대상인 28개 질환 이외에 당원병 환자에게 옥수수전분 구입비가 연간 168만원 이내 범위에서 지원된다. 당원병은  글리코겐 합성·분해에 필요한 효소 결핍으로 나타나는 탄수화물 대사이상 유전질환으로 혈당 유지를 위해 특수 식이인 옥수수전분을 반드시 먹어야 한다.질병청은 올해 희귀 질환자 의료비 지원사업 확대 내용을 포함한 사업 지침을 개정해 배포할 예정이다. 지원받으려는 이들은 주민등록 관할 보건소나 ‘희귀질환 헬프라인'(helpline.kdca.go.kr)을 통해 신청할 수 있다.지영미 질병청장은 “올해에는 의료비 지원사업의 상호 보완적 재원 분담 체계가 확립됨에 따라 더 안정적인 지원 기반이 마련됐다는 점에서 의미가 크다”며 “이를 토대로 앞으로도 희귀 질환자 지원을 강화하겠다”고 밝혔다."
65dd6caf99080678d0012b77,코메디닷컴,2024.01.29 18:32,대웅제약 폐 희귀병 신약물질 유럽 희귀의약품 지정,"특발성 폐섬유증(IPF)은 폐에 콜라겐이 비정상적으로 축적돼 폐 기능을 상실하는 질환이다. 세계적으로 인구 10만명 당 13명 정도가 발병한다. 진단 후 5년 생존율이 40%에 불과할 정도로 예후가 좋지 않지만, 기존 치료제는 부작용이 심해 신약 개발이 급한 상황이라고 대웅제약은 설명한다.베르시포로신은 콜라겐 생성에 영향을 주는 PRS 단백질 작용을 감소시켜, 콜라겐의 과도한 생성을 억제한다. 대웅제약은 지난해 5월 유럽분자생물학회(EMBO)에서 논문을 발표하며 이 후보물질의 작용원리를 규명했다.베르시포로신은 2022년 미국 FDA에서 희귀의약품과 신속심사제도(패스트트랙) 개발 품목으로도 지정됐다. 또한 지난해 12월 국가신약개발사업단(KDDF)의 ‘신약 임상개발지원’ 과제 중 ‘하이 퍼포먼스’ 부문 우수과제로 선정됐다. 현재 한국과 미국에서 다국가 임상 2상을 진행하고 있다.희귀의약품 지정은 희귀난치성 질환 치료제 개발과 허가가 원활하게 이뤄지도록 지원하는 제도다. EMA의 희귀의약품 지정을 받은 후보물질은 ▲임상시험에 대한 과학적 조언 제공 ▲허가 수수료 감면 ▲의약품 허가 시 10년간 독점권 인정 등 혜택이 부여된다. 미국은 7년간 독점권을 인정한다.전승호 대웅제약 대표는 “베르시포로신은 지난해 중화권 기술수출에 성공하는 등 임상 단계부터 세계적 관심을 받고 있다”며 “이번 EMA 희귀의약품 지정을 계기로 환자들에게 신속하게 치료옵션을 제공할 수 있도록 개발에 더욱 매진하겠다”고 말했다."
65dd6cb099080678d0012b78,코메디닷컴,2024.02.02 15:40,"퉁퉁 붓는 희귀병, 주사 한 방으로 완치한다?","유전성 혈관부종(HAE)은 5만명 중 1명이 걸리는 희소 질환이다. 유전자 돌연변이로 염증을 완화하는 C1 억제제가 제대로 생산되지 않는다. 그러면 칼리크레인이라는 단백질이 과잉 생산되고 혈관 부종과 관련된 단백질 브래디키닌의 축적을 촉진해 입술과 입, 목, 장, 손, 발을 붓게 만든다. 증상은 일주일에 두 번 정도 발생하며, 한 번 발생하면 몇 시간에서 며칠까지 지속된다. 부종이 장에 영향을 미치면 병상에 누워있어야 하고, 목에 부종이 일어나는 경우 질식사로 이어질 수 있다.연구진은 영국, 뉴질랜드, 네덜란드에서 진행된 소규모 1상시험에는 10명의 환자를 대상으로 미국의 제약회사 인텔리아 테라퓨틱스(Intellia Therapeutics)가 개발한 크리스퍼(CRISPR) 유전자 가위 기술을 이용한 유전성 혈관부종 치료제를 임상 시험했다. 특정 DNA에 결합하는 유전물질과 해당 부위를 잘라내는 효소 단백질을 결합한 크리스퍼 유전자가위를 이용해 칼리크레인 유전자가 작동하지 않도록 해 브래디키닌의 과잉생산을 막는 원리의 치료제다. 치료제 성분은 간세포가 흡수하는 지질 나노입자로 캡슐화돼 환자에게 주입된다.10명의 임상 환자는 모두 치료받은 이후 첫 6개월 동안 부종 발작 횟수가 95% 줄었다. 10명 중 9명은 1년 동안 발병하지 않아 완치 수준으로 판단됐다. 가장 낮은 용량의 치료를 받은 나머지 1명은 한 번의 경미한 증상만 보였다. 연구를 이끈 뉴질랜드 테 토카 투마이 병원의 힐러리 롱허스트 연구원은 “1회 투여 요법만으로 환자들에게 장애와 같았던 증상을 영구 치료하는 것으로 보인다”고 밝혔다.임상시험에 참여한 54세 암성 환자는 18개월 전 치료를 받은 이후 발작 증상이 사라졌다. 그는 “예측 불가능하고 무작위적인 증상 발현으로 인해 정상적인 삶을 살아가는 것이 거의 불가능했는데, 신체적, 정신적 건강이 급격하게 향상됐다”고 말했다. 역시 임상시험에 참여한 뉴질랜드의 간호사 주디 녹스는 과거 안드로겐 약물을 복용해야 했지만 이젠 더 이상 필요 없게 됐다며 “의료적 마법지팡이가 따로 없다”고 밝혔다. 영국 케임브리지대 병원의 파드말랄 구루가마 박사도 “3주에 한 번씩 발작을 일으켰던 남성 환자가 지난 18개월 동안 어떤 발작도 일으키지 않았고 어떤 약도 복용하지 않았다”면서 “정말 놀랍다”고 말했다.이번에 바표된 논문은 1상 임상시험의 결과만 다뤘지만 이미 2상 임상시험에서 25명의 환자를 추가로 치료했고, 내년에 대규모 환자를 대상으로 최종 3상 임상시험을 준비 중이다. 극적인 결과에도 불구하고 이 치료법은 세계에서 가장 비싼 치료법의 하나여서 일반인이 이용하려면 시간이 더 필요할 것으로 보인다. 영국 카디프대의 폴 모건 교수(면역학)는 “최근 리뷰에 따르면 1회 치료비용이 100만 달러(약 13억2500만 원)에서 200만 달러(약 26억5000만 원)로 추정된다”면서도 “유전적 혈관부종 환자들에게 잠재적 치료법이 있다는 희망을 안겨주는 결과”라고 밝혔다.해당 논문은 다음 링크(https://www.neurology.org/doi/10.1212/WNL.0000000000208104)에서 확인할 수 있다."
65dd6cb299080678d0012b79,코메디닷컴,2024.01.22 13:38,삼바에피스 희귀혈액질환약 바이오시밀러 국내 승인,"솔리리스는  아스트라제네카 자회사 알렉시온 파마슈티컬스가 개발한 치료제다. 발작성 야간 혈색소뇨증, 비정형 용혈성 요독 증후군 등 희귀질환에 사용된다. 2022년 기준 글로벌 매출액이 약 5조원에 육박한다.삼성바이오에피스는 국내 처음으로 솔리리스의 바이오시밀러 ‘에피스클리’를 개발해 글로벌 임상시험을 마치고 품목 허가를 획득했다. 이로써 이 회사는 2022년 6월 품목 허가 신청 후 약 19개월 만에 최종 승인을 받으며 총 7종의 바이오시밀러 제품을 보유하게 됐다.솔리리스의 대표적 적용 질환인 발작성 야간 혈색소뇨증은 혈관 내 적혈구가 파괴돼 혈색 소변 증상을 보이고 급성 신부전 등의 합병증을 유발하는 희귀질환이다. 솔리리스의 연간 처방액(성인 기준)이 4억원 수준임을 고려할 때 에피스클리의 이번 품목 허가는 국내 희귀질환 환자들의 접근성 개선에 도움이 될 것이라고 삼성바이오에피스 측은 설명했다.실제로 삼성바이오에피스는 에피스클리의 글로벌 임상 3상에 참여한 환자들의 약가 비용 부담을 고려해 최대 2년간 제품을 무상으로 제공해왔다. 이 회사 정병인 상무는 “에피스클리의 품목 허가를 통해 국내 희귀질환 환자들이 합리적인 가격으로 치료받을 수 있는 기회를 확대하게 됐다”고 말했다.한편, 삼성바이오에피스는 지난해 5월 에피스클리의 유럽 품목 허가를 획득한 뒤 별도 파트너사 없이 직접 판매 체제를 통해 독일과 프랑스 등에 순차적으로 제품을 출시했다."
65dd6cb399080678d0012b7a,코메디닷컴,2024.01.24 14:14,"사노피, 폐희귀질환 신약 후보물질 3조원에 인수","이번 계약은 독특한 방식을 취하고 있다. 사노피는 자회사 아벤티스와 인히브릭스를 합병하는 방식으로 알파-1 항트립신 결핍증(AATD) 치료물질 ‘INBRX-101’을 인수한다. 인히브릭스의 다른 파이프라인은 새로 설립되는 ‘뉴 인히브릭스’로 넘어간다. 뉴 인히브릭스는 기존 인히브릭스 설립자이자 최고경영자인 마크 라페가 이끌게 된다.알파-1 항트립신 결핍증은 항트립신이라는 효소가 부족해 폐와 간이 손상되는 병이다. INBRX-101은 이 병에 걸린 환자의 염증과 폐 조직 손상에 관여하는 효소를 차단하는 방식으로 작용하는 재조합 단백질이다. 임상 2상을 진행하고 있다.사노피는 인히브릭스가 발행한 보통주 100%(17억달러)를 매입한다. 주주들은 주당 30달러를 받고, 추후 마일스톤 달성시 5달러를 추가로 받을 수 있는 권리(3억달러)를 얻게 됐다. 사노피는 인히브릭스의 부채 상환을 위해 2억달러를 지원하고 새로 설립되는 인히브릭스의 지분 8%를 받는다. 모두 합하면 22억달러다.사노피의 연구개발 책임자인 후만 아슈라피안은 “높은 잠재력이 있는 INBRX-101을 희귀 질환 포트폴리오에 추가해 계열 내 최고(best-in-class) 제품에 전념하는 전략을 강화하게 됐다”고 말했다."
65dd6cb599080678d0012b7b,코메디닷컴,2024.02.26 13:57,작년 미국 출시 신약 가격 전년 대비 35% 상승,"23일(현지시간) 로이터통신에 따르면 지난해 글로벌 제약사들이 미국에서 출시한 47개 의약품을 분석한 결과 지난해 신약 정가 중간값은 30만달러(약 4억원)로 전년도 22만2000달러(약 2억9500만원)보다 35% 높아졌다. 지난해 FDA(미국 식품의약국) 승인을 받은 신약 55개 중 간헐적으로 사용되는 백신 등의 의약품과 아직 출시되지 않은 약은 제외했다.이는 지난해 FDA가 승인한 신약 중 절반 이상이 희귀질환 치료제이기 때문으로 분석됐다. 희귀질환 치료제의 경우 대안이 부족하기 때문에 제약사가 약가 협상에서 우위를 점하게 된다.의약품의 가치를 평가하는 단체인 임상경제검토연구소(ICER)의 댄 올렌도르프 최고과학책임자는 “많은 희귀 질병과 암 치료제들이 약이 제공하는 이점에 비해 적절한 가격이 책정되지 않고 있다”며 “대안이 없어 제조업체가 협상력을 갖는 구조이기 때문”이라고 말했다.지속적으로 복용해야 하는 약 중 가장 비싼 약은 리제네론의 ‘베오포즈’였다. 베오포즈는 초희귀 유전성 면역질환인 채플병에 대한 처음이자 유일한 치료제로 연간 가격이 180만달러(약 24억원)다. 연간 가격이 가장 저렴한 약은 576달러(약 76만원)인 테라코스바이오의 당뇨병 치료제 ‘브렌자비’로 나타났다.일회성 치료제의 경우 220만달러(약 29억원)인 버텍스와 크리스퍼의 겸상 적혈구 질환 치료제 ‘카스게비’부터 320만달러(약 42억)인 사렙타의 뒤셴근이영양증 치료제 ‘엘레비디스’까지 가격이 다양했다.미국은 희귀의약품 치료제를 만드는 의약품 제조업체에 시장 독점권, 수수료 면제, 연구개발을 위한 자금 지원, 세금 공제 등을 제공한다. 일각에서는 이런 많은 인센티브가 제약사들이 높은 가격에 제품을 출시하도록 장려하는 유인이 된다고 보고 있다.USC 셰퍼 보건 정책·경제 센터 소장인 다나 골드만은 “희귀 질환 치료제의 혁신을 위해 많은 인센티브를 만들었고 시장이 이에 반응했다”며 “치료 경쟁을 통해 신약 가격이 낮아지길 바란다”고 말했다."
65dd6cb699080678d0012b7c,코메디닷컴,2023.12.20 10:48,“이효리가 옆자리에” 희귀병 유튜버 감동…그가 앓는 질환은?,"최근 유튜브 채널 ‘daily여니’에 게재된 영상에는 이효리가 처음 본 유튜버 A씨를 위해 화장기 없는 얼굴로 함께 영상을 찍었다. A씨는 영상에서 “비행기를 탔는데 옆자리가 효리 언니였다”며 “이륙 후 언니가 먼저 말을 걸었고, 유튜브에 관해 얘기했더니 대화하는 걸 영상으로 찍자고 제안했고 업로드도 허락해줬다”고 말했다.영상 속 이효리는 카메라 구도까지 잡으며 A씨와 대화를 나눴으며 그의 투병 이야기도 집중해서 들었다. A씨는 희귀질환인 피부병 수포성 표피박리증을 겪고 있어 투병 과정을 영상으로 공유하고 있다.이효리는 “그렇게 병원에 있어야 하는가”라고 묻자 A씨는 “몸에 염증 수치가 높을 때는 병원에 들어갔다가 항생제 주사를 맞고 수치가 다시 낮아지면 나왔다가 한다”며 입원과 퇴원을 반복 중이라고 답했다.A씨는 “여태 몇 십년을 이러고 살았는데 앞으로 30년은 더 이러고 살아야 한다는 게 너무 슬프다”고 밝혔다. 이어 “어렸을 때는 ‘내가 20대, 30대 어른이 되면 약이 다 나와 있겠다’ 이런 생각을 했었는데 막상 계속 같은 상황이 벌어진다”고 덧붙였다.수포성 표피박리증, 손, 발 등 피부에 수포와 물집 생겨…근본적 치료법 없는 희귀병A씨가 앓고 있는 수포성 표피박리증은 피부와 점막에 반복적으로 물집과 상처가 생기는 병이다. 표피와 진피의 경계부를 구성하는 단백질 유전자 변이가 대표적인 원인이다. 표피와 진피가 떨어지지 않게 고정하는 단백질이 결핍돼 반복적으로 피부에 수포, 물집 등이 생긴다. 이 병은 주로 손과 발에 수포가 생기고 심한 후유증이 없는 단순형, 피부뿐만 아니라 장기에도 악영향을 주고 영양실조 등 합병증이 쉽게 나타나는 이영양형 수포성표피박리증(RDEB) 등이 있다.RDEB는 유전적으로 7형 콜라겐이 제대로 형성되지 않아 가벼운 일상적 마찰에도 피부와 점막에 물집과 상처가 발생하는 질환이다. 일반적으로 피부의 표피와 진피는 고정원 섬유로 단단히 연결돼 있지만 RDEB는 이 고정원 섬유의 주요 구성성분인 7형 콜라겐에 유전적 결함이 생겨 발생한다.RDEB 환자들은 태어날 때부터 전신 피부와 점막의 수포와 상처, 심한 통증과 가려움에 반복적으로 시달린다. 증상이 심해 피부의 표피가 계속 벗겨지면 물집이 생겨 환자들은 감염에 취약하고 통증이 동반된다. 물집이 생긴 곳으로 세균, 바이러스 등이 침투하면 폐렴, 패혈증 등으로 이어지기도 한다. 상처에 이차 감염이 일어나기 쉽다. 만성 상처 부위에서 발생하는 피부편평세포암, 관절 구축과 손발가락 붙음증(합지증), 식도 협착으로 인한 연하곤란, 만성 빈혈 및 내부 장기 부전 등의 증세가 동반되기도 한다.현재까지 마땅한 치료법이 없어 환자들은 대증 치료에만 의존하고 있는 현실이다. 증상과 합병증을 완화하고 감염을 막는 등의 치료법으로 관리하는 게 최선이다. 환자는 매일 증상을 관리하고 피부 접촉을 조심해야 하기에 고통이 극심하다. 유튜버 A씨처럼 자주 병원에 입원하기도 한다.다행히 최근 수년 사이 약물치료 외에도 세포치료, 유전자치료 등 새로운 치료법 연구가 활발히 이뤄지고 있다. 작년 국내 한 연구팀은 유전자 치료 가능성을 제시하기도 했다."
65dd6cb899080678d0012b7d,코메디닷컴,2023.12.13 21:11,“투약 시기 놓치면 무슨 소용”…희귀질환 약제 심의제도 개선 목소리,"환자들의 경제적 부담을 덜어준다는 측면에서는 의의가 있지만 심사절차가 까다로운 것은 물론 승인회의 탓에 치료 적기에 약을 쓰지 못하는 등 실효성에 문제가 있다는 지적은 꾸준히 나왔었다.지난 11일 국회 보건복지위원회 소속 신현영 의원(더불어민주당)은 ‘희귀질환 약제 사전심의 제도 개선방안’ 토론회를 개최했다.특히 이날 토론회에서는 비정형 용혈성 요독증후군(aHUS)에 대한 솔리리스(에쿨리주맙)의 낮은 사용 승인율을 지적하는 목소리가 나왔다.희귀질환 보장성 강화 측면에서의 약제 사전심의제 고찰을 주제로 발표한 순천향대 천안병원 원용균 교수(방사선 종양학과)는 “aHUS 환자가 중환자실에 있으면서 투석을 받고 있는데 응급상황에서 (사전심의를) 신청해 다른 질환이 아닌 걸 명확하게 증명해야 급여가 가능하다”고 지적하며 “응급한 상황임에도 심의신청에 필요한 검사 결과를 기다리다보면 적절한 시기 투약하지 못하는 부분이 아쉽다”는 현장의 목소리를 전했다.이어 “희귀질환 약제가 수억을 호가하다보니 장기투여자의 경우 건보 재정에 큰 압박이 될 것”이라고 하면서도 “해당 제도가 효력을 발휘하기 위해선 몇 가지 개선사항이 필요하다”고 지적했다.이같은 상황을 개선하기 위해 △건보재정이 아닌 별도의 재정(기금)마련 △중단이 가능한 환자들에겐 휴약 기간 고려 △장기 투약 환자에 대한 약가 인하(제약회사) △바이오시밀러(복제약)를 통한 경쟁력 강화 등을 제안했다.이어 대전을지대병원 신장내과 이수아 교수도 희귀질환 환자들이 적기 치료를 받을 수 있도록 ‘선 투약 후 심사’ 제도 도입 등 새로운 심의제도 필요성을 강조했다.이 교수는 “희귀 질환 약제 사전 심의 제도의 취지는 알고 있지만, 취지에만 몰두한 나머지 현장에서 진료하는데 있어선 오히려 장애물로 다가온다”며 “환자를 살리는 것이 최우선이므로 응급 환자는 약제를 선 사용하고 후 심의하는 좀 더 유연한 방향으로 정책이 바뀌어야 한다”고 말했다.정부, ‘사전심의 기간 단축·사후 심사 방안’ 검토하겠다토론회에 참여한 정부 관계자들은 현행 14일 정도 걸리는 사전심의 기간을 단축하고 솔리리스 등 안정적으로 오랜 기간 승인되고 있는 약제부터 ‘사후심사’ 형태로 심사 방식을 개선해 나가겠다고 전했다.보건복지부 오창현 보험약제과장은 “약제 사전심사를 하는 이유는 고가라는 측면도 있겠지만 투약 경과의 불확실성, 오남용의 우려 등도 있다”면서도 “솔리리스 등 오래된 약제 중 안정적으로 승인되는 약제부터는 사전 승인을 사후로 전환하는 방안을 검토하고 있다”고 말했다.이어  “앞으로 심의일 기준으로 14일 이내로 접수일자를 바꿔 환자들과 의료기관들의 편의성을 높이고자 한다”며 “접수일과 통보일, 서식도 정형화해 병원 작업도 수월하도록 좀 더 논의하겠다”고 덧붙였다.또한 질병관리청 이지원 희귀질환관리과장은 “aHUS의 경우 50%가 일차성(질병 자체가 원인)이고 나머지가 이차성(다른 질병이 원인)으로 사전심의 과정에서 이차성을 배제해야 하기에 사전심의 제도 자체 필요성은 존재하는 것 같다”고 말했다.이 과장은 “다만 심의 기준이나 실제 심의과정에 있어 좌절이 있을 수 있다는 점은 이해하고 정부도 희귀질환 환자들의 목소리를 더 듣고 더 나은 정책방향에 대해 검토해 보고 폭넓게 고민해보겠다”고 했다.한편 심평원 자료에 따르면 aHUS의 치료약제 솔리리스의 사전 승인 처리 지연 및 거절로 사망한 환자는 2020년 기준 12명(신청자 59명 중)이다.게다가 솔리리스 승인율도 해를 거듭할 수록 낮아지고 있다. 2018년 솔리리스 승인율이 47.7%로 절반에 근접한 수준을 보인데 반해, 2021년 15.9%로 3분에1 수준으로 곤두박질쳤다. 또 올해는 1~8월까지 35건의 사전승인 요청을 환자들이 보냈지만, 승인된 것은 단 2건이었다.한국희귀·난치성질환연합회 김진아 사무국장은 “희귀질환은 종류는 많지만 질환별 환자 수는 적어 환자 중에서도 특히 약자”라며 승인율을 높이기 위해 “심의 과정에서 해당 병을 진단한 의료진의 처방을 존중할 필요가 있다. 필요 시 의료진에 승인 회의 참석도 고려해볼 수 있다”고 말했다."
65dd6cb999080678d0012b7e,코메디닷컴,2023.12.13 12:12,"서울성모병원 연구팀, 희귀질환 국제학술대회 ‘최우수 초록상’ 수상","연구팀은 ‘인간 유도만능줄기세포 유래 신장 오가노이드(인공 장기) 시스템을 이용한 FAN1 결핍 신장질환 모형화(Modeling of FAN1 Deficient Kidney Disease Using Human Induced Pluripotent Stem Cells Derived Kidney Organoid System)’ 연구를 통해 수상의 영예을 안았다.FAN1은 우리 몸을 구성하는 세포 내 DNA가 손상될 시 복구·치유에 관여하는 유전자다. FAN1 유전자의 염기서열에 돌연변이가 생긴 환자의 경우 DNA 복구·치유에도 문제가 생긴다. 이같은 장애는 신장에 영향을 미친다. 세포가 죽으면서  거핵성 신(장)염이 발병하면서 만성 콩팥병으로 진행한다. 따라서 FAN1 유전자 이상과 만성 콩팥병의 진행 매커니즘 연관성이 주목 받고 있다.연구진은 FAN1 유전자의 돌연변이가 있는 거핵성 신염 환자의 혈액을 이용해 ‘만능유도 줄기세포’와 이를 이용한 ‘콩팥 오가노이드’를 제작했다. 그런 뒤 오가노이드를 구성하는 세포 내 DNA의 손상 및 세포 사멸이 증가함을 증명해 ‘거핵성 신염’의 모델링에 성공했다.장기이식연구소는 이번 연구의 대상 질환인 ‘거핵성 신염’뿐만 아니라 ‘기틀만씨 병’, ‘파브리병 신증’ 등 다양한 신장질환을 환자유래 만능유도줄기세포와 콩팥 오가노이드 시스템을 활용해 성공적으로 연구를 수행한 바 있다. 현재 콩팥 오가노이드 시스템을 활용한 신장이식 거부반응 모델링 연구를 진행 중이다.한편 해당 학술대회는 유럽희귀질환협회 주관으로 매년 개최된다. 전세계 희귀질환자를 진료하는 임상 의사뿐만 아니라 기초 연구자 및 기업 등이 모두 참여하는 국제 학회이다."
65dd6cba99080678d0012b7f,코메디닷컴,2023.12.04 17:30,"희귀 유전질환 고셔병, 유전자 치료제 ‘생존열쇠’ 될까","최근 국제 고셔병 인식의 달(International Gaucher Disease Awareness Month)을 맞아 유전자 치료제 개발에 대한 분석 보고서가 공개됐다.데이터 분석 및 컨설팅 전문 업체인 글로벌데이터(GlobalData)가 발간한 보고서에 따르면, 유전자 치료제가 상용화될 경우 “고셔병 치료 시장에 지각변동을 일으킬 수 있는 충분한 잠재력을 가진 것”으로 진단했다.현재 고셔병은 GBA1 유전자 결함으로 인해 발생하는 희귀 유전성 대사장애로 알려졌다. 인구 10만 명 중 1명 꼴로 발병하며, 질환의 중증도에 따라 1형~3형 등 세 가지 유형으로 분류된다.특히 이 질환은 글루코세레브로사이다아제(glucocerebrosidase)라는 효소가 결핍되면서 글루코세레브로사이드(glucocerebroside)라는 지질이 대식세포에 쌓이는 특징을 가진다.이로 인해 다양한 문제가 발생하는데 글루코세레브로사이드가 분해되지 않고 축적되면서 간이나 비장이 심각하게 비대해진다. 또한 혈액에 혈소판이 감소하고 이로 인한 출혈과 뼈통증, 관절통 등 여러 골격계 증상들도 동반된다.현행 치료법은 효소대체요법(ERT)과 기질감소치료법(SRT) 등으로 정리된다. 가장 널리 쓰이는 효소대체요법의 경우 축적된 지질이 분해될 수 있도록 결핍된 효소(글루코세레브로사이다아제)를 인체에 직접 넣어주는 방식이다.효소대체요법을 필두로 한 치료제 시장에는 △사노피-젠자임의 ‘세레자임’과 ‘세레델가’, △샤이어 ‘비프리브’, △이수앱지스 ‘애브서틴’ 등이 대표 품목으로 꼽힌다. 하지만 문제는, 이러한 효소대체요법을 시행한다고 해도 여전히 많은 환자들의 기대 수명이 짧고 쇠약해지는 증상을 경험한다는 부분이다.보고서는 이 같은 상황에서 향후 유전자 치료제의 역할을 주목했다. 다국적 제약기업 일라이 릴리의 자회사인 프리베일(Prevail) 테라퓨틱스가 개발 중인 ‘PR-001(실험물질명)’과 프리라인(Freeline) 테라퓨틱스의 ‘FLT-201’ 등이 대표적이다. 이들 치료제는 글루코세레브로사이드의 분해를 촉진하는 동시에 치료 효과가 오래 지속되는 전략을 개발의 최종 목표로 잡고 있다.또한 유망 후보물질로 바이오기업 아브로바이오(Avrobio)가 개발 중인 유전자 치료제 ‘AVR-RD-02’도 언급됐다. 작년에 발표된 임상 결과를 보면 고셔병 1형 환자 4명과 3형 소아 환자 1명 등 총 5명의 환자를 대상으로 효과를 평가한 결과 리소좀 축적 질환에 여러 임상적 지표들이 안정화됐다.보고서는 “유전자 치료법은 고셔병 환자 관리의 미래를 바꿀 게임 체인저로 기대된다”며 “아직 예비 평가 단계에 있지만, 신경학적 증상을 해결하지 못하는 기존 치료법과 달리 치료의 패러다임을 바꿀 것으로 생각된다”고 평가했다.그러면서 “유전자 치료를 진행하는 데 있어 아직 더 많은 안전성 데이터가 요구되는 상황이지만 추가적인 연구 결과를 기다리면서 충분히 검토해 볼 필요가 있다”고 덧붙였다."
