_id,question_title,question_content,question_datetime,answer1_content,answer1_datetime,answer2_content,answer2_datetime,answer3_content,answer3_datetime
65dd8f1d5bf02f695c36f1e3,전립선비대증 증상 수술 문의,전립선비대증 증상이 만성으로 이어지는 상황으로 수술을 고려하고 있어요.\n전립선비대증 증상이 오래되면 치료하기 어렵나요?\n\n아버님 전립선비대증 증상이 생긴 이후 계속 약 먹으면서 관리한다고 했는데 만성이 되어 버린 거 같아요.\n수술도 여러 방법이 있는 거 같은데 전립선비대증수술 괜찮을까요?,작성일\n2024.01.15,"안녕하세요. 하이닥-네이버 지식iN 상담의 류경호 입니다.\n부모님 전립선비대증 증상 때문에 걱정이 크실 거 같습니다. 전립선비대증 초기일 경우에 약물을 통해 전립선 근육을 이완시켜 전립선 크기가 커지는 것을 예방하는 치료로 증상을 개선하게 됩니다. \n하지만 전립선은 나이가 들면서 점점 커지기 때문에 전립선비대증 증상의 경우 점점 심해질 수밖에 없습니다. 전립선비대증을 방치하게 되면 우선 배뇨장애로 일상생활 자체가 불편해집니다. \n그러나 이보다 더 큰 문제는 소변이 원활하게 배출되지 못해 세균에 의한 요로감염, 방광염, 신우신염 등이 발생하기 쉽고, 방광결석이 생기거나 방광 기능에 이상이 발생할 수도 있습니다. \n이렇게 전립선비대증으로 인한 합병증이 발생할 우려가 있거나 약물치료에도 차도가 없는 경우에도 전립선비대증 수술적 치료를 고려해 보는 것이 좋습니다.\n전립선비대증 수술적 치료의 경우, 전립선의 크기 등 환자의 상태에 따라 달리 적용되므로 의료진의 정확한 진단 후에 수술 방법을 결정하시는 것이 중요합니다.\n대표적인 수술 방법으로는 워터젯 로봇수술(아쿠아블레이션 요법), 홀렙수술(홀뮴 레이저), 유로리프트(전립선결찰술), 플라즈마 투리스가 있습니다.\n전립선의 크기나 모양에 상관없이 수술이 가능한 것이 특징으로 고수압 분사를 이용하여 열 에너지 발생 없이 마이크로 단위의 최소 침습적 방법으로 전립선을 절제하기 때문에 정확하고 일관된 절제가 가능합니다. \n열을 쓰지 않고 물로 절제하기 때문에 요도협착, 방광경부 협착에 대한 가능성이 현저히 떨어집니다.\n홀렙수술은 비대조직과 피막 사이를 홀뮴레이저로 박리하여 귤껍질을 까듯 비대조직을 통째로 제거하는 수술로 비대조직이 남지 않고, 출혈과 부작용이 거의 없을 뿐만 아니라 재발률이 낮은 것이 장점입니다.\n유로리프트은 전립선을 절제하거나 레이저로 태우는 방식이 아닌 비대해진 전립선 조직의 좌우를 간단하게 묶어 고정함으로써 요도를 압박하는 전립선을 넓혀주는 수술법입니다.\n‘결찰사’ 라고 하는 실을 비대해진 전립선 양쪽을 통과시켜서 실을 조직의 좌우를 간단하게 묶어 고정함으로써 요도를 압박하는 전립선을 넓혀주는 수술법으로 크기에 따라서 양쪽으로 한 개씩 들어가거나, 2개~4개씩 들어가게 됩니다.\n입원할 필요가 없고 국소마취로도 간단히 시행할 수 있기 때문에 심장 질환 등 마취가 부담스러운 경우에 고려해 볼 수 있습니다. 또한 수술 후에 도뇨관을 거치는 일이 없고, 역행성 사정이 발생하는 경우도 드뭅니다. 수술은 비교적 간단하고, 수술 시간이 10분~20분 정도로 매우 짧은 것이 장점입니다.\n다만 유로리프트는 모든 환자가 받을 수 있는 것은 아닙니다. 전립선의 크기가 80mL 이상으로 매우 큰 경우, 전립선비대증의 중엽이 커져서 폐색 증상이 있는 경우, 이전에 소변이 나오지 않았던 요폐가 있었던 경우에는 유로리프트 시술이 적합하지 않습니다.\n플라즈마 투리스는 저온의 플라즈마로 혈관과 비대조직을 순간적으로 기화시켜 제거하는 수술입니다.\n전립선비대증은 자연스럽게 생기는 노화의 일환으로 보는 경우가 많아 치료가 지연되는 경우가 많습니다. 하지만 배뇨 장애 등의 증상으로 인해 삶의 질을 떨어뜨리는 진행성 질환이기 때문에 환자의 라이프 스타일과 상황에 맞는 치료 계획을 세우는 것이 중요합니다.\n특히나 전립선비대증을 방치하면 비대로 인한 합병증이 발생하거나 배뇨장애가 생겨서 방광이나 신장 기능이 저하될 가능성도 있기 때문에 정기적인 검진으로 질환을 예방하고 치료를 시행하는 것을 추천드립니다.\n전립선비대증 증상 때문에 수술 알아보고 계시는데 답변 도움이 되었으면 합니다. \n감사합니다.",2024.01.15.,,,,
65dd8f1e5bf02f695c36f1e5,초등ADHD 증상(오송 초등ADHD),오송 소아/남 초등ADHD\n자녀가 초등학생 3학년인 남자아이인데 ADHD 증상이 아직도 있는거 같아서 집중을 잘 하지 못하고 산만하고 정신없어요.. 초등ADHD 증상치료 좋아질 수 있을까요??? 여쭤봅니다.,조회수 251,"안녕하세요, 닥톡-네이버 지식iN 상담한의사 변형남입니다.\n\n아드님의 증상으로 인하여 초등 ADHD 증상 및 치료 관하여 궁금하셔서 문의를 주셨군요.\n\nADHD 및 ADHD 의심 증상은 문의주신 것처럼 자녀가 다소 산만하다고 , 부모님이 여러 번 낌새를 알아차렸지만, 아이가 그래도 커가면서 증상이 나아지겠지 라고 생각하시는 경우가 많습니다.\n\n그래서 구체적인 것은 ADHD 증상에 대하여 면담과 검사를 통해 이뤄져야 할 것입니다.\n\nADHD는 주의력 결핍 및 과잉행동 장애는 소아 아동기에 많이 나타나는 장애로, 지속적으로 주의력이 부족하여 산만하고, 과다활동, 충동성을 보이는 상태를 말하며, 소아 신경발달 증상의 일종입니다.\n\n발병의 생물학적 원인으로는 활동과 주의집중을 조절하는 뇌 부위의 기능 저하, 신경전달물질의 불균형, 가족력 및 유전적인 경향과 연관된 것으로 알려져 있습니다. 또한 특정 환경적 요인이 발병과 악화에 연관될 수 있다고 하는데, 여러 요인들이 주의력 결핍 및 과잉행동을 유발하는 것으로 여겨집니다.\n\n주요 초등ADHD 증상으론 부주의, 과잉행동, 충동성의 3가지가 나타나는데,\n\n‘부주의’ 증상으로 나타나는 것은 어떤 일을 할 때 지속적으로 주의를 집중할 수 없고, 다른 사람의 말을 경청하지 못하고 외부 자극에 쉽게 산만해지는 모습을 보이고, 필요한 물건들을 잘 잃어버리고, 일상적인 활동을 잘 잊어버리는 모습 등으로 주로 관찰됩니다.\n\n'과잉행동' 증상으로는 가만히 앉아 있지 못하고 자리에 앉아도 안절부절못하며 몸을 꼼지락거리며 부산하게 보이는 것이 나타납니다. 또한 한 동작을 끝마치지 않고 다른 동작으로 옮겨가기도 하고 무언가에 쫓기는 것처럼 행동하고 지나치게 수다스러운 모습 등으로 관찰되며,\n\n‘충동성’ 증상은 질문이 채 끝나기도 전에 성급하게 대답하고, 차례를 잘 기다리지 못하며 다른 사람의 활동을 참견하고 간섭하는 것 등으로 관찰됩니다.\n\n소아 및 아동기에 주로 발병하여 적절한 치료를 받지 못할 경우 어린이 시기를 지나 청소년 이후 성인기까지 지속되는 경우가 많습니다. 여러 행동 문제, 학습 능력 저하 때문에 꾸중을 자주 듣고 문제아로 평가되고 또래에게 따돌림을 당하는 등 또래 관계 문제를 야기하여, 본인 스스로도 자신을 뭐든지 잘 못하는 아이로 생각하며 자신감을 잃게 되는 모습을 보입니다.\n\n따라서, 증상에 따라 적극적인 치료뿐만이 아니라 부모 교육, 행동 치료, 사회기술훈련 등을 포함한 통합적이고 심층적인 치료 계획을 세워야 하며, 부모를 포함한 가족, 학교의 선생님이 교육을 통해 치료적인 환경을 조성하는데 노력해야 합니다.\n\n한방의료기관 및 한의원에서는 뇌 부위의 기능 저하, 신경전달물질의 불균형을 개선하는 치료를 실시하여, 주의집중력을 개선하고 스스로 자신의 행동을 통제할 수 있다는 자신감을 회복하는데 집중합니다.\n\n이를 위하여 뇌의 기능적 치유를 위한 뇌신경계 기능을 개선시키는 치료를 집중적으로 실시하는데, 영양은 한약 치료 등을 통하여, 자극은 침구 치료, 경추 추나 등을 통하여 개선의 방향을 잡습니다.\n\n즉 , 현대한의학적으로도 ADHD 치료 관하여 강점을 보이는 부분들이 있으므로 구체적인 사항은 한의원 문의를 해보시길 바랍니다.",2024.01.24.,,,,
65dd8f1f5bf02f695c36f1e7,주부습진 증상 왜 안없어질까요?,주부습진 증상이 안사라져요. 핸드크림도 꾸준히 바르는데 습진증상이 사라지기는 커녕 더 심해지는 것 같네요..주부습진 증상 왜 안없어지는 걸까요... 날이 추워서 더 갈라지고 통증이 심합니다..,작성일\n2024.01.22,"안녕하세요.\n닥톡-네이버 지식iN 상담한의사 김태욱 원장입니다. \n주부 습진증상으로 불편감을 많이 느끼셨겠습니다.\n주부습진은 손이 붉고, 가렵고, 진물이 난다는 특징이 있습니다.\n자극에 손이 반복 노출되어 피부 표면이 건조하고 갈라지다가 앞서 말씀드린 증상들이 나타납니다.\n외부 자극에 직접적으로 노출이 된 경우 주부습진이 생길 확률이 높아지므로 습진증상이 가벼울 경우에는 물이 닿는 것을 최대한 피하고, 저자극성 보습제를 충분히 바르기만 하셔도 어느 정도 회복될 가능성이 있습니다.\n하지만 오랫동안 해당 증상이 반복되며 염증 증상이 나타나거나, 가려움이 참기 힘들 정도로 지속될 경우에는 원인을 명확하게 파악해 볼 필요가 있습니다.\n보통 한의학에서는 여러 피부질환을 내 몸의 체질적인 이유와 그 외에 생활습관 등에서 생겨난 여러 원인들을 파악해 치료를 진행하고 있는데요.\n주부습진은 일반적으로 물과 세제의 접촉이 많을 경우 발병하기 쉬울 수 있지만, 만성적인 스트레스, 과로, 면역기능의 교란으로 인해서도 발병할 수 있는 피부질환입니다.\n자세한 치료법은 환자의 몸 상태나 피부 증상 상태에 따라 달라지기 때문에 전문가와 상의하시는 것이 가장 좋습니다.\n환자분의 빠른 쾌유를 바랍니다.\n감사합니다.",2024.01.22.,,,,
65dd8f205bf02f695c36f1e9,무릎통증 증상 ㅜㅜ 참고로 20대,20대 후반인데 무릎통증 증상이 있습니다.\n무릎을 구부릴 때 제일 아프다고 느꼈으나\n무릎 튀어나온 부위를 눌렀더니 그보다 더\n심한 무릎통증 증상이 느껴졌습니다.\n부상당한 적은 없고 그냥 운동을 좋아하고\n즐겨하는 편인데 왜 그동안 아무렇지 않다가\n이제야 무릎통증 증상이 있는 걸까요?,작성일\n2024.02.13,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김옥선 입니다.\n무릎통증 증상과 관련하여 질문주셨군요.\n현재 질문자님의 상태를 살펴 보지 못했기 \n때문에 정확한 설명을 드리기 어렵습니다. \n그러니 이에 대해서는 담당의와 상의를 \n해보는 것이 좋겠어요.\n남겨주신 증상만으로는 점액낭염이라 하여\n무릎 관절 주변 마찰을 줄이기 위해 분비되는\n점액낭 주머니에 염증이 생긴 상태를\n예상해 볼 수 있습니다.\n운동을 하며 발생된 반복적인 압박 및 자극,\n마찰 등이 원인이 될 수 있으며 흔히 20대\n연령층에서 발생되는 무릎통증 증상입니다.\n아직 증상 초기라면 충분한 휴식과 약물,\n물리치료 등의 보존적인 치료가 가능하며\n통증이 심할 경우 주사치료, 충격파치료,\n도수치료 등의 방법을 시도해 볼 수 있어요.\n또한 잘못된 생활이나 운동습관 등 통증의\n근본적인 원인을 개선하지 못한다면 다시\n증상이 재발될 수 있어 주의가 필요합니다.\n쾌유를 빕니다.\n감사합니다.",2024.02.13.,,,,
65dd8f205bf02f695c36f1eb,무릎통증 증상 꽤 오래됐는데,무릎통증 증상이 있어요.\n근데 이게 갑자기 생긴게 아니라\n좀 오랫동안 무릎통증 증상이 있었습니다.\n그래서 지금은 많이 적응이 된 상태이긴 하지만\n아무래도 무릎통증 증상이 있는데도 모른채하고\n달고 산다는게 말이 안되는 것 같아서요...,작성일\n2024.02.15,"안녕하세요. 하이닥-네이버 지식iN 상담의 김상범 입니다.\n무릎 통증은 부상에 의해서도\n발생하지만 일상생활에 의해서도\n많이 발생하고 있습니다.\n무릎 통증은 피부 타박상에 의해\n발생할 수도 있지만 근육이나 인대,\n힘줄, 뼈, 연골에 손상이 생기면\n발생할 수도 있습니다.\n무릎 통증 증상이 생기면 무릎에 체중을\n온전히 실을 수 없고 무릎이 심하게 붓습니다.\n또한 무릎을 구부리거나 펼 때 통증이 심하게\n나타나고 보기에도 기형적인 부분이 있습니다.\n무릎에 열이 나고 아프기도 하며 원래 자리에서\n벗어난 느낌이 들게 됩니다.\n원인은 다양하니 무릎 통증 증상이 느껴지면\n방치하지 마시고 병원을 방문해 검진을 통해\n적절한 치료 안내를 받으시는 것이 좋겠습니다.\n감사합니다.",2024.02.15.,,,,
65dd8f215bf02f695c36f1ed,돌발성 난청 증상이 맞나요?,어제 저녁 갑자기 귀에서 웅~ 소리가 들리고 주변소리가 안들렸는데 한 3초뒤에는 괜찮아져서 그냥 두었는데 오늘은 갑자기 시야가 흔들리듯이 어지러웠는데 이것도 3초정도 있다가 괜찮아 졌는데 찾아보니 돌발성난청증상과 유사해서요 보통 이렇게 짧게 증상이 왔다 가기도하나요? 아직 학생이라 부모님께 말씀을 못드렸는데 내일도 증상이있는지 확인해보고 없으면 병원에 안가도될까요?,작성일\n2024.01.27,"안녕하세요! \n닥톡-네이버지식in 상담한의사  최용석입니다.\n3초 정도 나타난 이명과 어지럼증으로 돌발성난청에 대한 문의를 주셨습니다.\n먼저, 돌발성 난청을 걱정할 상황,증상은 아니므로 너무 크게 걱정하지 않으셔도\n될 거 같네요!\n일시적인 어지럼증, 귀먹먹함,이명은 정상의 경우에서도 나타나고, 이는 대개 수초의 짧은 시간동안만 나타나고 자연스레 사라집니다.\n이러한 경우에서 까지 돌발성난청처럼 심각한 질환을 염려할 필요는 없습니다.\n돌발성 난청은 3일내에 급작스럽게 발생한 광범위한(순음 청력검사에서 3개의 연속된\n주파수 대역의 30db이상의 청력저하) 난청을 주증상으로 하는 질환이며\n,이명, 어지럼증, 귀먹먹함 증상이 동반되기도 하고, 지속적인 증상 상태가 나타납니다.\n제 답변이 도움이 되길 바라겠습니다. ",2024.01.29.,,,,
65dd8f225bf02f695c36f1ef,임신 초기증상 알려주세요,관계한지는 약 8주 지낫는데\n임신 초기증상 대표적인 게 뭐가 잇을까여\n입덧이 이때쯤부터 나타나나요?\n임신은 아닌데 만약 임신 햇우면 어떤 ㅈ증상이 잇나 궁금해젹음,작성일\n2024.02.21,"안녕하세요. 하이닥-네이버 지식iN 상담의 김종호 입니다.\n임신 초기 증상은 두통, 어지러움, 울렁거림, 가슴의 통증, 허리의 통증, 아랫배 통증, 냉의 증가. 소량의 출혈 등이 \n나타날 수도 있으며, 개인차는 있지만 대개 임신 주수 5~6주 후 (관계 2~3주 후)에 나타나게 됩니다.\n하지만 이런 증상들은 개인마다 차이가 있고 임신이 아닌 경우에도 충분히 나타날 수 있어, \n증상만으로 임신을 판단할 수는 없습니다.\n입덧은 마지막 생리 후 4~7주에 시작되고 임신 11~13주에 가장 심하며, 대부분 12~14주 정도면 사라집니다만, 개인차가 심해 거의 없거나 약한 경우부터 음식물을 전혀 섭취할 수 없는 심한 경우까지 다양합니다.\n참고로, 임신 주수는 의학적으로 마지막 생리 시작일을 1일로 계산합니다.\n관계한 날로부터 따져야 할 것 같지만 의학적으로 정확한 착상일 확인이 힘들기 때문에 \n마지막 생리 시작일부터 계산을 합니다.\n그러나 정확한 주수는 초음파 검사로 확인 받으셔야 하며, \n마지막 생리 시작일과 오차가 있는 경우에는 초음파 주수를 우선합니다.",2024.02.22.,,,,
65dd8f235bf02f695c36f1f1,이명 원인 증상 무엇일까요?,제가 종종 이명 증상이 있는데요 심하지는 않고\n가끔이라 크게 신경을 쓰지는 않았습니다.\n최근 들어서 이명 증상이 자주 있어서요.\n딱히 문제 될 부분은 없다고 보는데 이명 원인 증상은 무엇일까요?\n사소한 부분이라도 이명 원인으로 보여지는 부분을 알려주시면 감사하겠습니다.,작성일\n2023.12.29,"안녕하세요, 닥톡-네이버 지식iN 상담한의사 유종철입니다.\n여러가지 이명 원인이 있습니다.\n이명 원인으로는 과로, 스트레스, 수면부족, 음주, 흡연 등\n정말 다양한 범위로 존재합니다.\n이명증상 경우 초기치료가 중요한 질환으로\n자연적으로 이명증상이 사라진다면 다행이지만\n지속적인 이명증상을 보이신다면 빠른 치료를 진행하는것이 좋습니다.\n보통 6개월 이내에 내원하시는것이 좋으며\n치료를 병행하면서 식습관과 수면등 여러가지 정서적 심리적인 요인도\n신경을 써주신다면 빠른 치료가 가능합니다.\n감사합니다.\n00:00\n00:00\n\n접기/펴기\n이명원인",2023.12.29.,,,,
65dd8f245bf02f695c36f1f3,관계 후 증상,임신이라면 관계 9~10일 후 이 증상들이 비칠수 있나요? 가슴딱딱 가스가 잘나옴 허리아픔 관계 9~10일후에 나타날수있는 임신증상인가요?,작성일\n2024.02.02,"안녕하세요. 하이닥-네이버 지식iN 상담의 송성욱 입니다.\n임신초기 증상의 경우 보통 관계 후 2~3주 후에 나타나게 되며, 개인마다 차이는 있을 수 있습니다.\n대표적인 증상은 두통, 울렁거림, 아랫배 통증, 허리통증, 어지러움, 가슴의 통증, 냉의 증가, 소량의 출혈등이 있습니다.\n하지만 이러한 증상들은 임신이 아니어도 나타날 수 있으므로 정확한 임신의 여부를 확인해 보시는 것이 중요합니다.",2024.02.07.,,,,
65dd8f255bf02f695c36f1f5,여자 방광염 증상 어떡하죠?,"안녕하세요\n20대 후반의 여성입니다\n여성 방광염 증상 때문에 고민이 생겨서요\n평소 관리를 잘 한다고 생각했는데 방광염 증상이 나타나서 당황스럽네요\n제 나이 때에도 여자 방광염 증상이 나타나기도 하나요?\n소변도 자주보고, 통증도 조금 있고 잔뇨감도 있는것 같은데\n산부인과 방문해서 치료 받으면 금방 나을 수 있겠죠?",작성일\n2024.02.07,"안녕하세요. 하이닥-네이버 지식iN 상담의 이형근 입니다.\n방광염 증상이 나타나서 걱정이 있으시군요.\n방광염은 염증성 질환으로, 항문 주위 장내 세균이 회음부, 요도, 방광 순으로 역행하여 감염을 일으켜 발생하는 질환으로 특히 해부학상 질과 요도가 가까운 여성이 남성보다 발생 빈도가 높습니다.\n질문자님처럼 20대 여성에게도 나타날 수 있는 질환이라 중년 여성, 기혼여성에게만 나타나는 질환은 아닙니다.\n방광염은 소변이 자주 마려운 증상, 통증, 소변을 본 후에도 덜 본 듯한 느낌 등의 특징이 있습니다.\n그리고 방광염의 경우 재발이 잦으며, 만성질환으로 갈 수도 있기 때문에 생리 전후, 성관계로 인하여 계속적으로 그런 증상이 발발할 경우 습관처럼 굳어질 수 있기 때문에 조기에 치료하는 것이 좋습니다.\n질문자님의 경우 방광염 증상이 없다가 현재 처음 발발한 것이라면 경미한 방광염일 가능성이 높습니다.\n대체로 과로, 스트레스, 면역력 저하 등에 의해서도 흔히 생기며 보통 1~3일 정도 약을 복용하면 호전됩니다.\n약물로 치료는 1~2주간 경과를 지켜봐야 하며, 그래도 차도가 없을 시에는 다시 병원에 내원하셔서 자세한 진단과 검진을 통해 질환을 치료해 나가야 합니다.\n그리고 면역력이 떨어지지 않게, 영양 보충 및 체력관리를 잘 해주시면 됩니다.\n여성질환의 경우 방광염 외에도 비슷한 증세가 많기 때문에 혹시나 다른 질환이 의심이 될 수도 있으니, 질 분비물 상태는 어떠한지, 문제가 되는 나쁜 균들이 있는지 등을 산부인과에 내원하셔서 좀 더 정확한 진단과 치료를 받으시기 바랍니다.\n감사합니다.",2024.02.07.,,,,
